"sku","name","categories","category_root","brand","mpn","gtin","regular_price","sale_price","status","match_reason","match_score","live_id","live_sku","live_name","live_categories","live_permalink"
"HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","Home Appliances > Water Heaters","Home Appliances","Sonar","SNR-WH3000","6941693210012","4999","","missing","no SKU, MPN, or strong name match","0.13","47060","HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","TVs &amp; Home Entertainment","https://homeskitspro.com/product/sonar-android-smart-tv-55-inch-sn-55st4k/"
"HSP-WM001","Von 7KG Front Load Washing Machine Digital Inverter VALW-07FDX","Home Appliances > Laundry > Washing Machines","Home Appliances","Von","VALW-07FDX","6934177715648","54999","49999","missing","no SKU, MPN, or strong name match","0.31","47042","HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","Laundry","https://homeskitspro.com/product/von-twin-tub-washing-machine-7kg-vawm-707s/"
"HSP-WM002","Nunix 7KG Top Load Washing Machine Smart Inverter NX-7000T","Home Appliances > Laundry > Washing Machines","Home Appliances","Nunix","NX-7000T","6935482710027","42999","38999","missing","no SKU, MPN, or strong name match","0.50","47044","HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","Laundry","https://homeskitspro.com/product/nunix-top-load-washing-machine-6kg-nx-6000/"
"HSP-TV002","Hisense 43 Inch Crystal UHD 4K Smart TV 43A6500K","Electronics > TVs > Smart TVs","Electronics","Hisense","43A6500K","6942147459312","49999","44999","missing","no SKU, MPN, or strong name match","0.40","47058","HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","TVs &amp; Home Entertainment","https://homeskitspro.com/product/hisense-smart-4k-uhd-tv-43-inch-43a6n/"
"HSP-SPK001","Sonar 20W Portable Bluetooth Speaker Waterproof Outdoor SNR-SPK20","Electronics > Audio > Speakers","Electronics","Sonar","SNR-SPK20","6941693220011","3999","","missing","no SKU, MPN, or strong name match","0.33","47080","HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","Audio","https://homeskitspro.com/product/sonar-portable-bluetooth-speaker-sn-bt60/"
"HSP-REF001","Hisense 205L Single Door Refrigerator Direct Cool REF205DR","Home Appliances > Refrigerators & Freezers","Home Appliances","Hisense","REF205DR","6942147445001","28999","25999","missing","no SKU, MPN, or strong name match","0.18","47056","HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","Refrigerators","https://homeskitspro.com/product/hisense-no-frost-refrigerator-300l-ref300dr/"
"HSP-REF002","Von 300L Double Door No Frost Refrigerator VARV-30DHS","Home Appliances > Refrigerators & Freezers","Home Appliances","Von","VARV-30DHS","6934177730014","64999","59999","missing","no SKU, MPN, or strong name match","0.36","47055","HSP-045","Von Double Door Refrigerator 200L VART-25DHS","Refrigerators","https://homeskitspro.com/product/von-double-door-refrigerator-200l-vart-25dhs/"
"HSP-BL001","Nunix 2L 1200W Electric Blender Juicer Smoothie Maker NX-BL1200","Home Appliances > Kitchen Appliances > Blenders & Juicers","Home Appliances","Nunix","NX-BL1200","6935482720015","3499","","missing","no SKU, MPN, or strong name match","0.10","47061","HSP-051","Nunix 18 Inch Standing Fan NX-F18","Fans &amp; Air Treatment","https://homeskitspro.com/product/nunix-18-inch-standing-fan-nx-f18/"
"HSP-KT001","Dessini 1.8L 2200W Electric Kettle Stainless Steel Auto Shut-Off DSN-EK18","Home Appliances > Kitchen Appliances > Electric Kettles","Home Appliances","Dessini","DSN-EK18","6943821110018","2499","","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-IR001","Electromate 2400W Ceramic Steam Iron Self-Cleaning ELM-SI2400","Home Appliances > Garment Care > Irons & Steamers","Home Appliances","Electromate","ELM-SI2400","6940033210024","2999","","missing","no SKU, MPN, or strong name match","0.08","47075","HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","Cooking &amp; Kitchen","https://homeskitspro.com/product/electromate-electric-kettle-1-8l-stainless-em-ek18s/"
"HSP-SOLAR001","Sonar 30W Solar Flood Light Outdoor Motion Sensor 6500K SNR-SFL30","Lighting > Outdoor Solar Lighting","Lighting","Sonar","SNR-SFL30","6941693230019","1999","","missing","no SKU, MPN, or strong name match","0.08","47060","HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","TVs &amp; Home Entertainment","https://homeskitspro.com/product/sonar-android-smart-tv-55-inch-sn-55st4k/"
"HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","Electrical > Extension Cords & Power Strips","Electrical","Electromate","ELM-EXT4U","6940033220023","1499","","missing","no SKU, MPN, or strong name match","0.08","47075","HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","Cooking &amp; Kitchen","https://homeskitspro.com/product/electromate-electric-kettle-1-8l-stainless-em-ek18s/"
"HSP-DRILL001","Bosch 20V Cordless Drill Driver 2.0Ah Lithium Battery GSR 20V-21","Tools & Hardware > Drills & Drivers","Tools & Hardware","Bosch","GSR 20V-21","3165140892278","8999","7999","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-DRILL002","Bosch Impact Drill 710W 13mm Corded Variable Speed GSB 13 RE","Tools & Hardware > Drills & Drivers","Tools & Hardware","Bosch","GSB 13 RE","3165140344364","4999","","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-GRINDER001","Bosch Angle Grinder 850W 115mm GWS 850 C","Tools & Hardware > Grinders & Cutting Tools","Tools & Hardware","Bosch","GWS 850 C","3165140817011","4499","","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-GRINDER002","Bosch Heavy Duty Angle Grinder 2200W 230mm GWS 22-230 JH","Tools & Hardware > Grinders & Cutting Tools","Tools & Hardware","Bosch","GWS 22-230 JH","3165140697798","12999","11499","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-CCTV001","SmartPro 4 Channel 1080P CCTV Security Kit DVR 2 Cameras Night Vision SMP-CCTV4CH","Security > CCTV & Smart Cameras","Security","SmartPro","SMP-CCTV4CH","6946712110014","12999","11999","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","Electronics > Wearables > Smartwatches","Electronics","SmartPro","SMP-SW01","6946712120013","2999","","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","Flooring > Carpets & Rugs","Flooring","Rich","RCH-CP16X23","6948233110016","6999","","missing","no SKU, MPN, or strong name match","0.06","47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","https://homeskitspro.com/product/goldentech-rich-electric-water-dispenser-floor-gt-wd12h/"
"HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","Tools & Hardware > Workbenches & Sawhorses","Tools & Hardware","Bosch","GTA 3800","3165140875219","18999","16999","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-SAW001","Bosch Circular Saw 1400W 185mm with TCT Blade GKS 190","Tools & Hardware > Saws & Cutting Tools","Tools & Hardware","Bosch","GKS 190","3165140818940","8999","7999","missing","no SKU, MPN, or strong name match","0.00","","","","",""
"HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","Bathroom > Mirrors & Cabinets","Bathroom","Rich","RCH-MIRLED6080","6948233120015","8999","","missing","no SKU, MPN, or strong name match","0.07","47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","https://homeskitspro.com/product/goldentech-rich-electric-water-dispenser-floor-gt-wd12h/"
"HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","Bathroom > Sinks & Basins","Bathroom","Rich","RCH-SINK6045","6948233130014","6999","","missing","no SKU, MPN, or strong name match","0.06","47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","https://homeskitspro.com/product/goldentech-rich-electric-water-dispenser-floor-gt-wd12h/"
"HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","Bathroom > Toilets & Cisterns","Bathroom","Rich","RCH-TOI-DF","6948233140013","14999","12999","missing","no SKU, MPN, or strong name match","0.06","47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","https://homeskitspro.com/product/goldentech-rich-electric-water-dispenser-floor-gt-wd12h/"
"HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","Bathroom > Bathtubs & Showers","Bathroom","Rich","RCH-SHWR8","6948233150012","5999","","missing","no SKU, MPN, or strong name match","0.06","47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","https://homeskitspro.com/product/goldentech-rich-electric-water-dispenser-floor-gt-wd12h/"
"HSP-AIRPUR001","AiLyons HEPA H13 Air Purifier PM2.5 Smoke Dust Removal 30m AYL-AP30","Home Appliances > Air Quality & Purifiers","Home Appliances","AiLyons","AYL-AP30","6937542110011","7999","6999","missing","no SKU, MPN, or strong name match","0.29","47078","HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","Fans &amp; Air Treatment","https://homeskitspro.com/product/ailyons-air-purifier-hepa-3-stage-al-ap360/"
"HSP-FANFAN001","Von 16 Inch Stand Fan 3 Speed Remote Control Timer Oscillation VAFM-16RC","Home Appliances > Heating & Cooling","Home Appliances","Von","VAFM-16RC","6934177740013","4499","","missing","no SKU, MPN, or strong name match","0.07","47070","HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","Cooking &amp; Kitchen","https://homeskitspro.com/product/von-2-plate-electric-coil-cooker-vcst-200fe/"
