"categories","missing_count"
"Home Appliances > Laundry > Washing Machines","2"
"Home Appliances > Refrigerators & Freezers","2"
"Tools & Hardware > Drills & Drivers","2"
"Tools & Hardware > Grinders & Cutting Tools","2"
"Water & Plumbing > Pipes","2"
"Bathroom > Bathtubs & Showers","1"
"Bathroom > Mirrors & Cabinets","1"
"Bathroom > Sinks & Basins","1"
"Bathroom > Taps & Fittings","1"
"Bathroom > Toilets & Cisterns","1"
"Electrical > Cables & Adapters","1"
"Electrical > Extension Cords & Power Strips","1"
"Electronics > Audio > Speakers","1"
"Electronics > Memory & Storage","1"
"Electronics > Portable Charging","1"
"Electronics > Projectors & Displays","1"
"Electronics > TVs > Smart TVs","1"
"Electronics > Wearables > Smartwatches","1"
"Flooring > Carpets & Rugs","1"
"Home Appliances > Air Quality & Purifiers","1"
"Home Appliances > Garment Care > Irons & Steamers","1"
"Home Appliances > Heating & Cooling","1"
"Home Appliances > Kitchen Appliances > Blenders & Juicers","1"
"Home Appliances > Kitchen Appliances > Electric Kettles","1"
"Home Appliances > Water Heaters","1"
"Lighting > Outdoor Solar Lighting","1"
"Security > CCTV & Smart Cameras","1"
"Tools & Hardware > Saws & Cutting Tools","1"
"Tools & Hardware > Workbenches & Sawhorses","1"
"Water & Plumbing > Drainage & Sewerage","1"
"Water & Plumbing > Water Filters & Purifiers","1"
