"sku","name","categories","category_root","brand","mpn","gtin","status","product_family","match_reason","match_score","live_id","live_sku","live_name","live_brand","live_mpn","live_categories","live_permalink"
"HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","Home Appliances > Water Heaters","Home Appliances","Sonar","SNR-WH3000","6941693210012","missing","instant_water_heater|shower_set","no live product in same family (instant_water_heater|shower_set)","0.00","","","","","","",""
"HSP-WM001","Von 7KG Front Load Washing Machine Digital Inverter VALW-07FDX","Home Appliances > Laundry > Washing Machines","Home Appliances","Von","VALW-07FDX","6934177715648","present_similar","washing_machine","same product family: washing_machine; same brand; same category family","0.99","47042","HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","Von","VAWM-707S","Laundry","https://homeskitspro.com/product/von-twin-tub-washing-machine-7kg-vawm-707s/"
"HSP-WM002","Nunix 7KG Top Load Washing Machine Smart Inverter NX-7000T","Home Appliances > Laundry > Washing Machines","Home Appliances","Nunix","NX-7000T","6935482710027","present_similar","washing_machine","same product family: washing_machine; same brand; same category family","0.99","47044","HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","Nunix","NX-6000","Laundry","https://homeskitspro.com/product/nunix-top-load-washing-machine-6kg-nx-6000/"
"HSP-TV002","Hisense 43 Inch Crystal UHD 4K Smart TV 43A6500K","Electronics > TVs > Smart TVs","Electronics","Hisense","43A6500K","6942147459312","present_similar","smart_tv","same product family: smart_tv; same brand; same category family","0.99","47058","HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","Hisense","43A6N","TVs &amp; Home Entertainment","https://homeskitspro.com/product/hisense-smart-4k-uhd-tv-43-inch-43a6n/"
"HSP-SPK001","Sonar 20W Portable Bluetooth Speaker Waterproof Outdoor SNR-SPK20","Electronics > Audio > Speakers","Electronics","Sonar","SNR-SPK20","6941693220011","present_similar","bluetooth_speaker","same product family: bluetooth_speaker; same brand; same category family","0.99","47080","HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","Sonar","SN-BT60","Audio","https://homeskitspro.com/product/sonar-portable-bluetooth-speaker-sn-bt60/"
"HSP-REF001","Hisense 205L Single Door Refrigerator Direct Cool REF205DR","Home Appliances > Refrigerators & Freezers","Home Appliances","Hisense","REF205DR","6942147445001","present_similar","refrigerator","same product family: refrigerator; same brand; same category family","0.99","47056","HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","Hisense","REF300DR","Refrigerators","https://homeskitspro.com/product/hisense-no-frost-refrigerator-300l-ref300dr/"
"HSP-REF002","Von 300L Double Door No Frost Refrigerator VARV-30DHS","Home Appliances > Refrigerators & Freezers","Home Appliances","Von","VARV-30DHS","6934177730014","present_similar","refrigerator","same product family: refrigerator; same brand; same category family","0.99","47055","HSP-045","Von Double Door Refrigerator 200L VART-25DHS","Von","VART-25DHS","Refrigerators","https://homeskitspro.com/product/von-double-door-refrigerator-200l-vart-25dhs/"
"HSP-BL001","Nunix 2L 1200W Electric Blender Juicer Smoothie Maker NX-BL1200","Home Appliances > Kitchen Appliances > Blenders & Juicers","Home Appliances","Nunix","NX-BL1200","6935482720015","present_similar","blender","same product family: blender; same category family","0.75","47050","HSP-063","AiLyons Electric Blender 1.5L AL-BL150","AiLyons","AL-BL150","Cooking &amp; Kitchen","https://homeskitspro.com/product/ailyons-electric-blender-1-5l-al-bl150/"
"HSP-KT001","Dessini 1.8L 2200W Electric Kettle Stainless Steel Auto Shut-Off DSN-EK18","Home Appliances > Kitchen Appliances > Electric Kettles","Home Appliances","Dessini","DSN-EK18","6943821110018","present_similar","electric_kettle","same product family: electric_kettle; same category family","0.75","47075","HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","Electromate","EM-EK18S","Cooking &amp; Kitchen","https://homeskitspro.com/product/electromate-electric-kettle-1-8l-stainless-em-ek18s/"
"HSP-IR001","Electromate 2400W Ceramic Steam Iron Self-Cleaning ELM-SI2400","Home Appliances > Garment Care > Irons & Steamers","Home Appliances","Electromate","ELM-SI2400","6940033210024","present_similar","clothes_iron","same product family: clothes_iron; same category family","0.75","47076","HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","Nunix","NX-IR22","Laundry","https://homeskitspro.com/product/nunix-dry-steam-clothes-iron-nx-ir22/"
