"sku","name","categories","category_root","brand","mpn","gtin","status","product_family","match_reason","match_score","live_id","live_sku","live_name","live_brand","live_mpn","live_categories","live_permalink"
"HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","Bathroom > Bathtubs & Showers","Bathroom","Rich","RCH-SHWR8","6948233150012","missing","shower_set","no live product in same family (shower_set)","0.00","","","","","","",""
"HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","Bathroom > Mirrors & Cabinets","Bathroom","Rich","RCH-MIRLED6080","6948233120015","missing","mirror_cabinet","no live product in same family (mirror_cabinet)","0.00","","","","","","",""
"HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","Bathroom > Sinks & Basins","Bathroom","Rich","RCH-SINK6045","6948233130014","missing","sink_basin","no live product in same family (sink_basin)","0.00","","","","","","",""
"HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","Bathroom > Taps & Fittings","Bathroom","Rich","RCH-KTAP-CHR","6948233160011","missing","tap_fitting","no live product in same family (tap_fitting)","0.00","","","","","","",""
"HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","Bathroom > Toilets & Cisterns","Bathroom","Rich","RCH-TOI-DF","6948233140013","missing","toilet","no live product in same family (toilet)","0.00","","","","","","",""
"HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","Electrical > Cables & Adapters","Electrical","Electromate","ELM-USBC100","6940033230022","missing","usb_cable","no live product in same family (usb_cable)","0.00","","","","","","",""
"HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","Electrical > Extension Cords & Power Strips","Electrical","Electromate","ELM-EXT4U","6940033220023","missing","extension_cord","no live product in same family (extension_cord)","0.00","","","","","","",""
"HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","Electronics > Memory & Storage","Electronics","SmartPro","SMP-MSD64","6946712140011","missing","micro_sd","no live product in same family (micro_sd)","0.00","","","","","","",""
"HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","Electronics > Portable Charging","Electronics","Sonar","SNR-PB20K","6941693240018","missing","power_bank","no live product in same family (power_bank)","0.00","","","","","","",""
"HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","Electronics > Projectors & Displays","Electronics","SmartPro","SMP-PROJ200","6946712130012","missing","projector","no live product in same family (projector)","0.00","","","","","","",""
"HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","Electronics > Wearables > Smartwatches","Electronics","SmartPro","SMP-SW01","6946712120013","missing","smartwatch","no live product in same family (smartwatch)","0.00","","","","","","",""
"HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","Flooring > Carpets & Rugs","Flooring","Rich","RCH-CP16X23","6948233110016","missing","carpet_rug","no live product in same family (carpet_rug)","0.00","","","","","","",""
"HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","Home Appliances > Water Heaters","Home Appliances","Sonar","SNR-WH3000","6941693210012","missing","instant_water_heater|shower_set","no live product in same family (instant_water_heater|shower_set)","0.00","","","","","","",""
"HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","Tools & Hardware > Workbenches & Sawhorses","Tools & Hardware","Bosch","GTA 3800","3165140875219","missing","workbench","no live product in same family (workbench)","0.00","","","","","","",""
"HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","Water & Plumbing > Drainage & Sewerage","Water & Plumbing","Rich","RCH-FD10","6948233170010","missing","floor_drain","no live product in same family (floor_drain)","0.00","","","","","","",""
