"sku","product_id","name","live_image","image_id","still_thumbnail","width_hint","status"
"HSP-WH001","47201","Sonar 3000W Instant Electric Shower Water Heater","https://homeskitspro.com/wp-content/uploads/2026/04/water-heater-1.jpg","47244","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-EXT001","47203","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","https://homeskitspro.com/wp-content/uploads/2026/04/tools-1.jpg","47245","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-SW001","47205","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260402_202437-1.png","47246","no","(max-width: 1024px) 100vw, 1024px","publish"
"HSP-RUG001","47207","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","https://homeskitspro.com/wp-content/uploads/2026/04/washing-machine-1.jpg","47247","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-WBENCH001","47209","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","https://homeskitspro.com/wp-content/uploads/2026/04/tools-product-14-240x274-1-1.jpg","47248","no","(max-width: 240px) 100vw, 240px","publish"
"HSP-SMIRR001","47211","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-1.jpg","47249","no","(max-width: 700px) 100vw, 700px","publish"
"HSP-SINK001","47213","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-2.jpg","47250","no","(max-width: 700px) 100vw, 700px","publish"
"HSP-TOI001","47215","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-3.jpg","47251","no","(max-width: 700px) 100vw, 700px","publish"
"HSP-SHOWER001","47217","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-4.jpg","47252","no","(max-width: 700px) 100vw, 700px","publish"
"HSP-TAPEF001","47219","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-5.jpg","47253","no","(max-width: 700px) 100vw, 700px","publish"
"HSP-DRAIN001","47221","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","https://homeskitspro.com/wp-content/uploads/2026/04/plumb-1.jpg","47254","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-PROJ001","47223","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","https://homeskitspro.com/wp-content/uploads/2026/04/tv-1.jpg","47255","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-POWERBANK001","47225","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","https://homeskitspro.com/wp-content/uploads/2026/04/solar-1.jpg","47256","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-USBC001","47227","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","https://homeskitspro.com/wp-content/uploads/2026/04/tools-2.jpg","47257","no","(max-width: 300px) 100vw, 300px","publish"
"HSP-SDCARD001","47229","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","https://homeskitspro.com/wp-content/uploads/2026/04/solar-2.jpg","47258","no","(max-width: 300px) 100vw, 300px","publish"
