"sku","title","product_id","status","media_id","score","jumia_title","image_url","page_url","message"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","not_attached","","","","","","no safe Jumia match"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","already_has_image","47112","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-043-hisense-front-load-washing-machine-8kg-wfqy8014evjm.jpg","",""
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","not_attached","","","","","","no safe Jumia match"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","not_attached","","","","","","no safe Jumia match"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","not_attached","","","","","","no safe Jumia match"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","not_attached","","","","","","no safe Jumia match"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","already_has_image","47115","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-048-hisense-smart-4k-uhd-tv-43-inch-43a6n.jpg","",""
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","not_attached","","","","","","no safe Jumia match"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","not_attached","","","","","","no safe Jumia match"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","attached_jumia_image","47122","17","18 inches Free Standing Fan With 3pcs Steel Blade, Powerful Wing and Low Noise","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/7356623/1.jpg?3760","https://www.jumia.co.ke/nunix-18-inches-free-standing-fan-with-3pcs-steel-blade-powerful-wing-and-low-noise-326653767.html","brand,tokens:nunix|standing|fan,size,family:standing fan,spec:18inch,spec:18inch"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","not_attached","","","","","","no safe Jumia match"
"HSP-053","Electromate Air Cooler 20L EM-AC20","47048","not_attached","","","","","","no safe Jumia match"
"HSP-054","Sonar 3kVA Petrol Generator SN-G3000","47064","not_attached","","","","","","no safe Jumia match"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","47065","not_attached","","","","","","no safe Jumia match"
"HSP-056","Electromate 1kVA Silent Generator EM-G1000S","47066","not_attached","","","","","","no safe Jumia match"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","47049","already_has_image","47120","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-057-solarmax-200w-monocrystalline-solar-panel-smx-200m.jpg","",""
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","47068","already_has_image","47121","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-058-solarmax-1000w-pure-sine-wave-inverter-smx-1000ps.jpg","",""
"HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","47069","attached_jumia_image","47123","13","24V 50 METERS Lift Deep Well Submersible Solar Powered Water Pump +300Watts Solar Panel+Float switch","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/8452723/1.jpg?6336","https://www.jumia.co.ke/solarmax-24v-50-meters-lift-deep-well-submersible-solar-powered-water-pump-300watts-solar-panelfloat-switch20-meters-cablesplicing-kitwater-delivery-pipe-half-inch-30-meters-327254855.html","brand,tokens:solarmax|solar|water|pump|kit,family:water pump"
"HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","47070","not_attached","","","","","","no safe Jumia match"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","47071","not_attached","","12"," 3 gas burner 1 Vitro ceramic Built in cooker ,Glass ,60*60cm-1 YEAR WARRANTY","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/6514623/1.jpg?0555","https://www.jumia.co.ke/bolesi-3-gas-burner-1-vitro-ceramic-built-in-cooker-glass-6060cm-1-year-warranty-326415677.html","Media upload failed: HTTP/1.1 403 Forbidden"
"HSP-062","Hisense Microwave Oven 20L HM720G7H","47072","attached_jumia_image","47124","18","20L Digital Microwave Oven (White)","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/3514623/1.jpg?6725","https://www.jumia.co.ke/hisense-20l-digital-microwave-oven-white-326415395.html","brand,tokens:hisense|microwave|oven|20l,size,family:microwave,spec:20l,spec:20l"
"HSP-063","AiLyons Electric Blender 1.5L AL-BL150","47050","attached_jumia_image","47125","16","FY-319-K Blender 2 In 1 With Grinder Machines  1.5L Black and Silver (1YR WRTY)","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/7455603/1.jpg?9204","https://www.jumia.co.ke/customer/account/login/?tkWl=AI234HA644XI0NAFAMZ-444311456&return=%2Fcatalog%2F%3Fq%3DAiLyons%25201.5L%2520blender","brand,tokens:ailyons|blender,size,family:blender,spec:1.5l,spec:1.5l"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","47074","not_attached","","","","","","no safe Jumia match"
"HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","47075","attached_jumia_image","47126","17","Em 1.8L ElectroMate Electric Kettle Jug Heater for Boiling Water, Fast Heating  (1YR WRTY)","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/0096523/1.jpg?5418","https://www.jumia.co.ke/customer/account/login/?tkWl=GE840HA6AUCXGNAFAMZ-464831672&return=%2Fcatalog%2F%3Fq%3DElectromate%25201.8L%2520kettle","brand,tokens:electromate|electric|kettle,size,family:kettle,spec:1.8l,spec:1.8l"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","47076","not_attached","","","","","","no safe Jumia match"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","47051","not_attached","","","","","","no safe Jumia match"
"HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","47078","not_attached","","","","","","no safe Jumia match"
"HSP-069","LG Home Theatre System 2.1 DH3140S 300W","47079","already_has_image","47119","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-069-lg-home-theatre-system-2-1-dh3140s-300w.jpg","",""
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","47080","not_attached","","","","","","no safe Jumia match"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","47081","not_attached","","","","","","no safe Jumia match"
