"sku","title","product_id","status","media_id","score","jumia_title","image_url","page_url","message"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","not_attached","","","","","","no safe Jumia match"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","already_has_image","47112","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-043-hisense-front-load-washing-machine-8kg-wfqy8014evjm.jpg","",""
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","not_attached","","","","","","no safe Jumia match"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","not_attached","","","","","","no safe Jumia match"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","not_attached","","","","","","no safe Jumia match"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","not_attached","","","","","","no safe Jumia match"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","already_has_image","47115","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-048-hisense-smart-4k-uhd-tv-43-inch-43a6n.jpg","",""
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","not_attached","","","","","","no safe Jumia match"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","not_attached","","","","","","no safe Jumia match"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","already_has_image","47122","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-051-nunix-18-inch-standing-fan-nx-f18.jpg","",""
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","dry_run_candidate","","11","36 Inches Smart Tower Fan, LED & Remote Control, Anion Air Purification, 8-Hour Timer & 80° Oscillat","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/2239623/1.jpg?7102","https://www.jumia.co.ke/von-36-inches-smart-tower-fan-led-remote-control-anion-air-purification-8-hour-timer-80-oscillation-326932239.html","tokens:tower|fan|remote,size,family:tower fan,spec:36inch"
"HSP-053","Electromate Air Cooler 20L EM-AC20","47048","dry_run_candidate","","12","Foam Hard Cooler - 20L - Red","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/400231/1.jpg?7212","https://www.jumia.co.ke/customer/account/login/?tkWl=TH454HL07DS2VNAFAMZ-14724827&return=%2Fcatalog%2F%3Fq%3D20L%2520Air%2520Coolers","tokens:cooler|20l,size,family:air cooler,spec:20l,spec:20l"
"HSP-054","Sonar 3kVA Petrol Generator SN-G3000","47064","not_attached","","","","","","no safe Jumia match"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","47065","dry_run_candidate","","10","1.5KVA 24V Solar Hybrid Inverter 1500VA Solar Hybrid Inverter","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/5456313/1.jpg?4157","https://www.jumia.co.ke/customer/account/login/?tkWl=SO830GP504LPBNAFAMZ-452053379&return=%2Fcatalog%2F%3Fq%3Dinverter","tokens:5kva|inverter,family:inverter,spec:2.5kva,spec:2.5kva"
"HSP-056","Electromate 1kVA Silent Generator EM-G1000S","47066","not_attached","","","","","","no safe Jumia match"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","47049","already_has_image","47120","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-057-solarmax-200w-monocrystalline-solar-panel-smx-200m.jpg","",""
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","47068","already_has_image","47121","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-058-solarmax-1000w-pure-sine-wave-inverter-smx-1000ps.jpg","",""
"HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","47069","already_has_image","47123","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-059-solarmax-solar-water-pump-kit-0-5hp-smx-sp05.jpg","",""
"HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","47070","not_attached","","","","","","no safe Jumia match"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","47071","dry_run_candidate","","12"," 3 gas burner 1 Vitro ceramic Built in cooker ,Glass ,60*60cm-1 YEAR WARRANTY","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/6514623/1.jpg?0555","https://www.jumia.co.ke/bolesi-3-gas-burner-1-vitro-ceramic-built-in-cooker-glass-6060cm-1-year-warranty-326415677.html","brand,tokens:vitro|burner|gas|cooker,family:gas cooker"
"HSP-062","Hisense Microwave Oven 20L HM720G7H","47072","already_has_image","47124","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-062-hisense-microwave-oven-20l-hm720g7h.jpg","",""
"HSP-063","AiLyons Electric Blender 1.5L AL-BL150","47050","already_has_image","47128","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-063-ailyons-electric-blender-1-5l-clean-1.jpg","",""
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","47074","dry_run_candidate","","12","3 in 1 Kitchen Stand Mixer Machine, 1200W Power, 5L Large Capacity, Stainless Steel Bowl, variable S","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/5561623/1.jpg?1436","https://www.jumia.co.ke/sokany-3-in-1-kitchen-stand-mixer-machine-1200w-power-5l-large-capacity-stainless-steel-bowl-variable-speed-settings-for-perfect-baking-results-easy-mixing-kneading-326165599.html","tokens:stand|mixer,size,family:mixer,spec:5l,spec:5l"
"HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","47075","already_has_image","47126","","","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-065-electromate-electric-kettle-1-8l-stainless-em-ek18s.jpg","",""
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","47076","dry_run_candidate","","12","Heavy Duty 2200W Electric Steam & Dry Iron For Clothes. Fast Heating Iron With Ceramic Soleplate for","https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/6356523/1.jpg?9973","https://www.jumia.co.ke/sokany-heavy-duty-2200w-electric-steam-dry-iron-for-clothes.-fast-heating-iron-with-ceramic-soleplate-for-smooth-gliding-adjustable-thermostat-dial-spray-mist.-self-cleaning-iron-for-clothes-at-home-or-office.-300ml-water-tank.-325653663.html","tokens:dry|steam|clothes|iron,size,family:iron,spec:2200w"
