"id","sku","name","categories","width","height","kb","image"
"47229","HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","Memory &amp; Storage","300","300","11.2","https://homeskitspro.com/wp-content/uploads/2026/04/solar-2.jpg"
"47227","HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","Cables &amp; Adapters","300","300","19.5","https://homeskitspro.com/wp-content/uploads/2026/04/tools-2.jpg"
"47225","HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","Portable Charging","300","300","11.2","https://homeskitspro.com/wp-content/uploads/2026/04/solar-1.jpg"
"47223","HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","Projectors &amp; Displays","300","300","15.1","https://homeskitspro.com/wp-content/uploads/2026/04/tv-1.jpg"
"47221","HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","Drainage &amp; Sewerage","300","300","14.8","https://homeskitspro.com/wp-content/uploads/2026/04/plumb-1.jpg"
"47219","HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","Taps &amp; Fittings","700","800","7.6","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-5.jpg"
"47217","HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","Bathtubs &amp; Showers","700","800","7.6","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-4.jpg"
"47215","HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","Toilets &amp; Cisterns","700","800","7.6","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-3.jpg"
"47213","HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","Sinks &amp; Basins","700","800","7.6","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-2.jpg"
"47211","HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","Mirrors &amp; Cabinets","700","800","7.6","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-1.jpg"
"47209","HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","Workbenches &amp; Sawhorses","240","274","6.1","https://homeskitspro.com/wp-content/uploads/2026/04/tools-product-14-240x274-1-1.jpg"
"47207","HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","Carpets &amp; Rugs","300","300","9.4","https://homeskitspro.com/wp-content/uploads/2026/04/washing-machine-1.jpg"
"47205","HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","Smartwatches","1024","1024","475.6","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260402_202437-1.png"
"47203","HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","Extension Cords &amp; Power Strips","300","300","19.5","https://homeskitspro.com/wp-content/uploads/2026/04/tools-1.jpg"
"47201","HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","Water Heaters","300","300","18.1","https://homeskitspro.com/wp-content/uploads/2026/04/water-heater-1.jpg"
"47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","1024","1536","473","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_162710.png"
"47080","HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","Audio","1024","1024","585.5","https://homeskitspro.com/wp-content/uploads/2026/04/86f3d74f-1b6a-45e4-a2b0-9ccbf4fc6c23.png"
"47079","HSP-069","LG Home Theatre System 2.1 DH3140S 300W","Audio","600","220","11.5","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-069-lg-home-theatre-system-2-1-dh3140s-300w.jpg"
"47078","HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","Fans &amp; Air Treatment","1024","1536","701.7","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_155818.png"
"47076","HSP-066","Nunix Dry &amp; Steam Clothes Iron NX-IR22","Laundry","1536","1024","704.9","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_164326.png"
"47075","HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","Cooking &amp; Kitchen","300","300","10.3","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-065-electromate-electric-kettle-1-8l-stainless-em-ek18s.jpg"
"47074","HSP-064","AiLyons Stand Mixer 5L AL-SM500","Cooking &amp; Kitchen","1536","1024","506.4","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_161929.png"
"47072","HSP-062","Hisense Microwave Oven 20L HM720G7H","Cooking &amp; Kitchen","300","300","8.5","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-062-hisense-microwave-oven-20l-hm720g7h.jpg"
"47071","HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","Cooking &amp; Kitchen","1024","1024","415.6","https://homeskitspro.com/wp-content/uploads/2026/04/2f91e96a-1682-4aba-b1dc-d43c03ee6aa7.png"
"47070","HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","Cooking &amp; Kitchen","528","480","42.9","https://homeskitspro.com/wp-content/uploads/2026/04/Von-Hotpoint-Table-Top-Double-Coil-Cooker.jpg"
"47069","HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","Water Pumps","300","300","26.5","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-059-solarmax-solar-water-pump-kit-0-5hp-smx-sp05.jpg"
"47068","HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","Solar","300","300","10.8","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-058-solarmax-1000w-pure-sine-wave-inverter-smx-1000ps.jpg"
"47066","HSP-056","Electromate 1kVA Silent Generator EM-G1000S","Generators","1024","1024","795.1","https://homeskitspro.com/wp-content/uploads/2026/04/820cf0b7-4cb4-4456-9f49-8f573f1c5410.png"
"47065","HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","Generators","1254","1254","1479.1","https://homeskitspro.com/wp-content/uploads/2026/04/783d64a6-7cb2-463d-87aa-c5c15e59ecf2.png"
"47064","HSP-054","Sonar 3kVA Petrol Generator SN-G3000","Generators","1024","1024","779.8","https://homeskitspro.com/wp-content/uploads/2026/04/0e245451-1375-44de-80a3-be9b6db5cc5b.png"
"47061","HSP-051","Nunix 18 Inch Standing Fan NX-F18","Fans &amp; Air Treatment","300","300","14.7","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-051-nunix-18-inch-standing-fan-nx-f18.jpg"
"47060","HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","TVs &amp; Home Entertainment","1536","1024","1642.7","https://homeskitspro.com/wp-content/uploads/2026/04/0d5caefd-af39-4ede-82d5-e109db8a6afc.png"
"47058","HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","TVs &amp; Home Entertainment","1024","1024","813.9","https://homeskitspro.com/wp-content/uploads/2026/04/f6454d5b-130e-4686-b0f7-9f78352de727.png"
"47056","HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","Refrigerators","1024","1536","517.8","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_163517.png"
"47055","HSP-045","Von Double Door Refrigerator 200L VART-25DHS","Refrigerators","1024","1024","314.5","https://homeskitspro.com/wp-content/uploads/2026/04/ed3ba80f-066d-4074-9f40-0bfbc15be1e5.png"
"47051","HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","Cleaning Appliances","1536","1024","529.3","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260417_163831.png"
