"id","sku","name","categories","image_id","image_src","src_width_hint","srcset_largest_width","looks_low_res"
"47229","HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","Memory &amp; Storage","47258","https://homeskitspro.com/wp-content/uploads/2026/04/solar-2.jpg","","300","yes"
"47227","HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","Cables &amp; Adapters","47257","https://homeskitspro.com/wp-content/uploads/2026/04/tools-2.jpg","","300","yes"
"47225","HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","Portable Charging","47256","https://homeskitspro.com/wp-content/uploads/2026/04/solar-1.jpg","","300","yes"
"47223","HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","Projectors &amp; Displays","47255","https://homeskitspro.com/wp-content/uploads/2026/04/tv-1.jpg","","300","yes"
"47221","HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","Drainage &amp; Sewerage","47254","https://homeskitspro.com/wp-content/uploads/2026/04/plumb-1.jpg","","300","yes"
"47219","HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","Taps &amp; Fittings","47253","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-5.jpg","","700","unknown"
"47217","HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","Bathtubs &amp; Showers","47252","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-4.jpg","","700","unknown"
"47215","HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","Toilets &amp; Cisterns","47251","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-3.jpg","","700","unknown"
"47213","HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","Sinks &amp; Basins","47250","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-2.jpg","","700","unknown"
"47211","HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","Mirrors &amp; Cabinets","47249","https://homeskitspro.com/wp-content/uploads/2026/04/toilets-1.jpg","","700","unknown"
"47209","HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","Workbenches &amp; Sawhorses","47248","https://homeskitspro.com/wp-content/uploads/2026/04/tools-product-14-240x274-1-1.jpg","","240","yes"
"47207","HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","Carpets &amp; Rugs","47247","https://homeskitspro.com/wp-content/uploads/2026/04/washing-machine-1.jpg","","300","yes"
"47205","HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","Smartwatches","47246","https://homeskitspro.com/wp-content/uploads/2026/04/Copilot_20260402_202437-1.png","","1024","unknown"
