"sku","name","category_path","category_exists","action","valid_gtin","has_image","has_short_description","has_long_description"
"HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","Home Appliances > Water Heaters","yes","already_exists_skip","no","yes","yes","yes"
"HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","Electrical > Extension Cords & Power Strips","yes","already_exists_skip","no","yes","yes","yes"
"HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","Electronics > Wearables > Smartwatches","yes","already_exists_skip","no","yes","yes","yes"
"HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","Flooring > Carpets & Rugs","yes","already_exists_skip","no","yes","yes","yes"
"HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","Tools & Hardware > Workbenches & Sawhorses","yes","already_exists_skip","yes","yes","yes","yes"
"HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","Bathroom > Mirrors & Cabinets","yes","already_exists_skip","no","yes","yes","yes"
"HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","Bathroom > Sinks & Basins","yes","already_exists_skip","no","yes","yes","yes"
"HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","Bathroom > Toilets & Cisterns","yes","already_exists_skip","no","yes","yes","yes"
"HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","Bathroom > Bathtubs & Showers","yes","already_exists_skip","no","yes","yes","yes"
"HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","Bathroom > Taps & Fittings","yes","already_exists_skip","no","yes","yes","yes"
"HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","Water & Plumbing > Drainage & Sewerage","yes","already_exists_skip","no","yes","yes","yes"
"HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","Electronics > Projectors & Displays","yes","already_exists_skip","no","yes","yes","yes"
"HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","Electronics > Portable Charging","yes","already_exists_skip","no","yes","yes","yes"
"HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","Electrical > Cables & Adapters","yes","already_exists_skip","no","yes","yes","yes"
"HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","Electronics > Memory & Storage","yes","already_exists_skip","no","yes","yes","yes"
