"sku","name","action","product_id","category_path","status","message"
"HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","created","47201","Home Appliances > Water Heaters","ok",""
"HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","created","47203","Electrical > Extension Cords & Power Strips","ok",""
"HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","created","47205","Electronics > Wearables > Smartwatches","ok",""
"HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","created","47207","Flooring > Carpets & Rugs","ok",""
"HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","created","47209","Tools & Hardware > Workbenches & Sawhorses","ok",""
"HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","created","47211","Bathroom > Mirrors & Cabinets","ok",""
"HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","created","47213","Bathroom > Sinks & Basins","ok",""
"HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","created","47215","Bathroom > Toilets & Cisterns","ok",""
"HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","created","47217","Bathroom > Bathtubs & Showers","ok",""
"HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","created","47219","Bathroom > Taps & Fittings","ok",""
"HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","created","47221","Water & Plumbing > Drainage & Sewerage","ok",""
"HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","created","47223","Electronics > Projectors & Displays","ok",""
"HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","created","47225","Electronics > Portable Charging","ok",""
"HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","created","47227","Electrical > Cables & Adapters","ok",""
"HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","created","47229","Electronics > Memory & Storage","ok",""
