"sku","name","product_id","live_status","live_category","expected_category_path","has_short_description","has_long_description","has_image","status"
"HSP-WH001","Sonar 3000W Instant Electric Shower Water Heater","47201","publish","Water Heaters","Home Appliances > Water Heaters","yes","yes","yes","found"
"HSP-EXT001","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","47203","publish","Extension Cords & Power Strips","Electrical > Extension Cords & Power Strips","yes","yes","yes","found"
"HSP-SW001","SmartPro Fitness Smart Watch Heart Rate SpO2 Monitor Calls SMP-SW01","47205","publish","Smartwatches","Electronics > Wearables > Smartwatches","yes","yes","yes","found"
"HSP-RUG001","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","47207","publish","Carpets & Rugs","Flooring > Carpets & Rugs","yes","yes","yes","found"
"HSP-WBENCH001","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","47209","publish","Workbenches & Sawhorses","Tools & Hardware > Workbenches & Sawhorses","yes","yes","yes","found"
"HSP-SMIRR001","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","47211","publish","Mirrors & Cabinets","Bathroom > Mirrors & Cabinets","yes","yes","yes","found"
"HSP-SINK001","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","47213","publish","Sinks & Basins","Bathroom > Sinks & Basins","yes","yes","yes","found"
"HSP-TOI001","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","47215","publish","Toilets & Cisterns","Bathroom > Toilets & Cisterns","yes","yes","yes","found"
"HSP-SHOWER001","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","47217","publish","Bathtubs & Showers","Bathroom > Bathtubs & Showers","yes","yes","yes","found"
"HSP-TAPEF001","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","47219","publish","Taps & Fittings","Bathroom > Taps & Fittings","yes","yes","yes","found"
"HSP-DRAIN001","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","47221","publish","Drainage & Sewerage","Water & Plumbing > Drainage & Sewerage","yes","yes","yes","found"
"HSP-PROJ001","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","47223","publish","Projectors & Displays","Electronics > Projectors & Displays","yes","yes","yes","found"
"HSP-POWERBANK001","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","47225","publish","Portable Charging","Electronics > Portable Charging","yes","yes","yes","found"
"HSP-USBC001","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","47227","publish","Cables & Adapters","Electrical > Cables & Adapters","yes","yes","yes","found"
"HSP-SDCARD001","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","47229","publish","Memory & Storage","Electronics > Memory & Storage","yes","yes","yes","found"
