"sku","title","product_id","status","media_id","source_url","message"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/43/285684/1.jpg-von-hotpoint-vawm-707s-7kg-twin-tub-washing-machine.jpg | https://hotpoint.co.ke/media/catalog/product/v/a/vawm-707s_3.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-042-2-von-twin-tub-washing-machine-7kg-vawm-707s.jpg https://hotpoint.co.ke/media/catalog/product/v/a/vawm-707s_3.jpg curl: (22) The requested URL returned error: 404"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","image_failed","","https://images.hisensedealers.co.ke/hisense-wfqy8014evjm-front-load-washing-machine-8kg.jpg | https://ke.hisense.com/media/catalog/product/w/f/wfqy8014evjm.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-043-2-hisense-front-load-washing-machine-8kg-wfqy8014evjm.jpg https://ke.hisense.com/media/catalog/product/w/f/wfqy8014evjm.jpg curl: (6) Could not resolve host: ke.hisense.com"
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/17/eed6f3/1.jpg-nunix-6kg-top-load-washing-machine.jpg | https://www.jiji.co.ke/photos/product/nunix-6kg-washing-machine-top-load.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-044-2-nunix-top-load-washing-machine-6kg-nx-6000.jpg https://www.jiji.co.ke/photos/product/nunix-6kg-washing-machine-top-load.jpg curl: (22) The requested URL returned error: 404"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","image_failed","","https://hotpoint.co.ke/media/catalog/product/v/a/vart-25dhs_1.jpg | https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/90/von-vart-25dhs-fridge.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-045-2-von-double-door-refrigerator-200l-vart-25dhs.jpg https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/90/von-vart-25dhs-fridge.jpg curl: (6) Could not resolve host: images.jumia.co.ke"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","image_failed","","https://images.hisensedealers.co.ke/hisense-ref300dr-300l-no-frost-fridge.jpg | https://ke.hisense.com/media/catalog/product/r/e/ref300dr_main.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-046-2-hisense-no-frost-refrigerator-300l-ref300dr.jpg https://ke.hisense.com/media/catalog/product/r/e/ref300dr_main.jpg curl: (6) Could not resolve host: ke.hisense.com"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/sonar-90l-bar-fridge.jpg | https://rickelectronics.co.ke/wp-content/uploads/sonar-90l-mini-fridge.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-047-2-sonar-bar-fridge-90l-sd-90.jpg https://rickelectronics.co.ke/wp-content/uploads/sonar-90l-mini-fridge.jpg curl: (6) Could not resolve host: rickelectronics.co.ke"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","image_failed","","https://images.hisensedealers.co.ke/hisense-43a6n-43-inch-4k-smart-tv.jpg | https://ke.hisense.com/media/catalog/product/4/3/43a6n_main.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-048-2-hisense-smart-4k-uhd-tv-43-inch-43a6n.jpg https://ke.hisense.com/media/catalog/product/4/3/43a6n_main.jpg curl: (6) Could not resolve host: ke.hisense.com"
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","image_failed","","https://overtech.co.ke/wp-content/uploads/vitro-32-inch-fhd-tv.jpg | https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/vitro-vt-3200s-32-tv.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-049-2-vitro-full-hd-tv-32-inch-vt-3200s.jpg https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/vitro-vt-3200s-32-tv.jpg curl: (6) Could not resolve host: images.jumia.co.ke"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","image_failed","","https://overtech.co.ke/wp-content/uploads/sonar-55-inch-4k-android-tv.jpg | https://rickelectronics.co.ke/wp-content/uploads/sonar-55-4k-smart-tv.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-050-2-sonar-android-smart-tv-55-inch-sn-55st4k.jpg https://rickelectronics.co.ke/wp-content/uploads/sonar-55-4k-smart-tv.jpg curl: (6) Could not resolve host: rickelectronics.co.ke"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/nunix-18-inch-floor-fan.jpg | https://skywave.co.ke/wp-content/uploads/nunix-18-inch-standing-fan.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-051-2-nunix-18-inch-standing-fan-nx-f18.jpg https://skywave.co.ke/wp-content/uploads/nunix-18-inch-standing-fan.jpg curl: (22) The requested URL returned error: 404"
