"category_path","category_id","status"
"Home Appliances > Laundry","1686","existing"
"Home Appliances > Laundry","1686","existing"
"Home Appliances > Laundry","1686","existing"
"Home Appliances > Refrigerators","1787","existing"
"Home Appliances > Refrigerators","1787","existing"
"Home Appliances > Refrigerators","1787","existing"
"Electronics > TVs & Home Entertainment","1554","existing"
"Electronics > TVs & Home Entertainment","1554","existing"
"Electronics > TVs & Home Entertainment","1554","existing"
"Home Appliances > Fans & Air Treatment","1788","existing"
"Home Appliances > Fans & Air Treatment","1788","existing"
"Home Appliances > Fans & Air Treatment","1788","existing"
"Energy > Generators","1789","existing"
"Energy > Generators","1789","existing"
"Energy > Generators","1789","existing"
"Energy > Solar","1790","existing"
"Energy > Solar","1790","existing"
"Water & Plumbing > Water Pumps","1588","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
"Home Appliances > Laundry","1686","existing"
"Home Appliances > Cleaning Appliances","1792","existing"
"Home Appliances > Fans & Air Treatment","1788","existing"
"Electronics > Audio","1578","existing"
"Electronics > Audio","1578","existing"
"Home Appliances > Cooking & Kitchen","1791","existing"
