"target_sku","title","product_id","live_category","expected_category_path","has_short_description","has_long_description","status"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","Laundry","Home Appliances > Laundry","yes","yes","found"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","Laundry","Home Appliances > Laundry","yes","yes","found"
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","Laundry","Home Appliances > Laundry","yes","yes","found"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","Refrigerators","Home Appliances > Refrigerators","yes","yes","found"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","Refrigerators","Home Appliances > Refrigerators","yes","yes","found"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","Refrigerators","Home Appliances > Refrigerators","yes","yes","found"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","TVs & Home Entertainment","Electronics > TVs & Home Entertainment","yes","yes","found"
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","TVs & Home Entertainment","Electronics > TVs & Home Entertainment","yes","yes","found"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","TVs & Home Entertainment","Electronics > TVs & Home Entertainment","yes","yes","found"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","Fans & Air Treatment","Home Appliances > Fans & Air Treatment","yes","yes","found"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","Fans & Air Treatment","Home Appliances > Fans & Air Treatment","yes","yes","found"
"HSP-053","Electromate Air Cooler 20L EM-AC20","47048","Fans & Air Treatment","Home Appliances > Fans & Air Treatment","yes","yes","found"
"HSP-054","Sonar 3kVA Petrol Generator SN-G3000","47064","Generators","Energy > Generators","yes","yes","found"
"HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","47065","Generators","Energy > Generators","yes","yes","found"
"HSP-056","Electromate 1kVA Silent Generator EM-G1000S","47066","Generators","Energy > Generators","yes","yes","found"
"HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","47049","Solar","Energy > Solar","yes","yes","found"
"HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","47068","Solar","Energy > Solar","yes","yes","found"
"HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","47069","Water Pumps","Water & Plumbing > Water Pumps","yes","yes","found"
"HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","47070","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
"HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","47071","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
"HSP-062","Hisense Microwave Oven 20L HM720G7H","47072","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
"HSP-063","AiLyons Electric Blender 1.5L AL-BL150","47050","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","47074","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
"HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","47075","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","47076","Laundry","Home Appliances > Laundry","yes","yes","found"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","47051","Cleaning Appliances","Home Appliances > Cleaning Appliances","yes","yes","found"
"HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","47078","Fans & Air Treatment","Home Appliances > Fans & Air Treatment","yes","yes","found"
"HSP-069","LG Home Theatre System 2.1 DH3140S 300W","47079","Audio","Electronics > Audio","yes","yes","found"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","47080","Audio","Electronics > Audio","yes","yes","found"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","47081","Cooking & Kitchen","Home Appliances > Cooking & Kitchen","yes","yes","found"
