"source_sku","target_sku","product_id","title","action","status","category","image_status","message"
"SKU-042","HSP-042","47042","Von Twin Tub Washing Machine 7kg VAWM-707S","update","updated","Laundry","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/43\/285684\/1.jpg-von-hotpoint-vawm-707s-7kg-twin-tub-washing-machine.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-043","HSP-043","47043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","update","updated","Laundry","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.hisensedealers.co.ke\/hisense-wfqy8014evjm-front-load-washing-machine-8kg.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.hisensedealers.co.ke'"",""data"":{""status"":400}}"
"SKU-044","HSP-044","47044","Nunix Top Load Washing Machine 6kg NX-6000","update","updated","Laundry","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/17\/eed6f3\/1.jpg-nunix-6kg-top-load-washing-machine.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-045","HSP-045","47055","Von Double Door Refrigerator 200L VART-25DHS","create","created","Refrigerators","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/hotpoint.co.ke\/media\/catalog\/product\/v\/a\/vart-25dhs_1.jpg. Error: Not Found"",""data"":{""status"":400}}"
"SKU-046","HSP-046","47056","Hisense No-Frost Refrigerator 300L REF300DR","create","created","Refrigerators","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.hisensedealers.co.ke\/hisense-ref300dr-300l-no-frost-fridge.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.hisensedealers.co.ke'"",""data"":{""status"":400}}"
"SKU-047","HSP-047","47045","Sonar Bar Fridge 90L SD-90","update","updated","Refrigerators","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/sonar-90l-bar-fridge.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-048","HSP-048","47058","Hisense Smart 4K UHD TV 43 inch 43A6N","create","created","TVs & Home Entertainment","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.hisensedealers.co.ke\/hisense-43a6n-43-inch-4k-smart-tv.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.hisensedealers.co.ke'"",""data"":{""status"":400}}"
"SKU-049","HSP-049","47046","Vitro Full HD TV 32 inch VT-3200S","update","updated","TVs & Home Entertainment","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/overtech.co.ke\/wp-content\/uploads\/vitro-32-inch-fhd-tv.jpg. Error: Not Found"",""data"":{""status"":400}}"
"SKU-050","HSP-050","47060","Sonar Android Smart TV 55 inch SN-55ST4K","create","created","TVs & Home Entertainment","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/overtech.co.ke\/wp-content\/uploads\/sonar-55-inch-4k-android-tv.jpg. Error: Not Found"",""data"":{""status"":400}}"
"SKU-051","HSP-051","47061","Nunix 18 Inch Standing Fan NX-F18","create","created","Fans & Air Treatment","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/nunix-18-inch-floor-fan.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-052","HSP-052","47047","GoldenTech Rich Tower Fan with Remote GT-TF36R","update","updated","Fans & Air Treatment","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/goldentech-tower-fan-remote.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-053","HSP-053","47048","Electromate Air Cooler 20L EM-AC20","update","updated","Fans & Air Treatment","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/electromate-air-cooler-20l.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-054","HSP-054","47064","Sonar 3kVA Petrol Generator SN-G3000","create","created","Generators","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/sonar-3kva-generator.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-055","HSP-055","47065","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","create","created","Generators","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/goldentech-inverter-generator-2500.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-056","HSP-056","47066","Electromate 1kVA Silent Generator EM-G1000S","create","created","Generators","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/electromate-1kva-silent-generator.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-057","HSP-057","47049","Solarmax 200W Monocrystalline Solar Panel SMX-200M","update","updated","Solar","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Invalid image: Sorry, you are not allowed to upload this file type."",""data"":{""status"":400}}"
"SKU-058","HSP-058","47068","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","create","created","Solar","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Invalid image: Sorry, you are not allowed to upload this file type."",""data"":{""status"":400}}"
"SKU-059","HSP-059","47069","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","create","created","Water Pumps","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Invalid image: Sorry, you are not allowed to upload this file type."",""data"":{""status"":400}}"
"SKU-060","HSP-060","47070","Von 2-Plate Electric Coil Cooker VCST-200FE","create","created","Cooking & Kitchen","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/hotpoint.co.ke\/media\/catalog\/product\/v\/c\/vcst-200fe_1.jpg. Error: Not Found"",""data"":{""status"":400}}"
"SKU-061","HSP-061","47071","Vitro 3-Burner Gas Cooker VT-GB3","create","created","Cooking & Kitchen","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/overtech.co.ke\/wp-content\/uploads\/vitro-3-burner-gas-cooker.jpg. Error: Not Found"",""data"":{""status"":400}}"
"SKU-062","HSP-062","47072","Hisense Microwave Oven 20L HM720G7H","create","created","Cooking & Kitchen","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.hisensedealers.co.ke\/hisense-hm720g7h-20l-microwave.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.hisensedealers.co.ke'"",""data"":{""status"":400}}"
"SKU-063","HSP-063","47050","AiLyons Electric Blender 1.5L AL-BL150","update","updated","Cooking & Kitchen","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/ailyons-al-bl150-blender.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-064","HSP-064","47074","AiLyons Stand Mixer 5L AL-SM500","create","created","Cooking & Kitchen","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/ailyons-stand-mixer-5l.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
"SKU-065","HSP-065","47075","Electromate Electric Kettle 1.8L Stainless EM-EK18S","create","created","Cooking & Kitchen","image_import_failed_product_saved","{""code"":""woocommerce_product_image_upload_error"",""message"":""Error getting remote image https:\/\/images.jumia.co.ke\/unsafe\/fit-in\/500x500\/filters:fill(white)\/product\/electromate-1-8l-electric-kettle.jpg. Error: cURL error 60: SSL: no alternative certificate subject name matches target hostname 'images.jumia.co.ke'"",""data"":{""status"":400}}"
