"sku","title","product_id","status","media_id","score","source_url","page_url","message"
"HSP-042","Von Twin Tub Washing Machine 7kg VAWM-707S","47042","not_attached","","","","","no high-confidence image candidate"
"HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","47043","attached_online_image","47112","14","https://th-test-11.slatic.net/p/ebc69910a3c2dcc744ab5c84f49c6d98.jpg","https://thaipick.com/product/lazada/3236725","brand,mpn,tokens:hisense|front|load|wfqy8014evjm,image_ext"
"HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","47044","attached_online_image","47113","9","https://www.telix.pl/wp-content/uploads/2023/06/Снимок-экрана-2023-06-12-в-18.39.10.png","https://www.telix.pl/artykuly/promocje/2023/06/nandme-nx-6000-elektryczna-szczoteczka-soniczna-do-zebow-w-promocyjnej-cenie/","mpn,tokens:load|6000,image_ext"
"HSP-045","Von Double Door Refrigerator 200L VART-25DHS","47055","attached_online_image","47114","8","https://www.mazagazaga.com/wp-content/uploads/2021/07/Untitled-3.jpg-VART-18DMY.jpg","https://www.mazagazaga.com/?product=von-vart-18dmy-refrigerator-double-door","brand,tokens:double|door|refrigerator|vart,image_ext"
"HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","47056","not_attached","","","","","no high-confidence image candidate"
"HSP-047","Sonar Bar Fridge 90L SD-90","47045","not_attached","","","","","no high-confidence image candidate"
"HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","47058","attached_online_image","47115","13","https://cdn.ozone.bg/media/catalog/product/cache/1/image/a4e40ebdc3e371adff845072e1c73f37/s/m/2275f3cf38aa0b2eb6eab13c5a2f0dc2/smart-televizor-hisense---43a6n--43----dled--4k--cheren-31.jpg","https://www.ozone.bg/product/mmtv0001900n-1/","brand,mpn,tokens:hisense|smart|43a6n,image_ext"
"HSP-049","Vitro Full HD TV 32 inch VT-3200S","47046","not_attached","","","","","no high-confidence image candidate"
"HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","47060","not_attached","","","","","no high-confidence image candidate"
"HSP-051","Nunix 18 Inch Standing Fan NX-F18","47061","not_attached","","","","","no high-confidence image candidate"
"HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","47047","not_attached","","","","","no high-confidence image candidate"
