"id","sku","name","categories","brand","mpn","global_unique_id","gtin","upc","ean","isbn","identifier_exists","meta_keys"
"47081","HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","Cooking &amp; Kitchen","GoldenTech Rich","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47080","HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","Audio","Sonar","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47079","HSP-069","LG Home Theatre System 2.1 DH3140S 300W","Audio","LG","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47078","HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","Fans &amp; Air Treatment","AiLyons","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47076","HSP-066","Nunix Dry &amp; Steam Clothes Iron NX-IR22","Laundry","Nunix","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47075","HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","Cooking &amp; Kitchen","Electromate","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47074","HSP-064","AiLyons Stand Mixer 5L AL-SM500","Cooking &amp; Kitchen","AiLyons","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47072","HSP-062","Hisense Microwave Oven 20L HM720G7H","Cooking &amp; Kitchen","Hisense","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47071","HSP-061","Vitro 3-Burner Gas Cooker VT-GB3","Cooking &amp; Kitchen","Vitro","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47070","HSP-060","Von 2-Plate Electric Coil Cooker VCST-200FE","Cooking &amp; Kitchen","Von","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47069","HSP-059","Solarmax Solar Water Pump Kit 0.5HP SMX-SP05","Water Pumps","Solarmax","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47068","HSP-058","Solarmax 1000W Pure Sine Wave Inverter SMX-1000PS","Solar","Solarmax","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47066","HSP-056","Electromate 1kVA Silent Generator EM-G1000S","Generators","Electromate","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47065","HSP-055","GoldenTech Rich 2.5kVA Inverter Generator GT-IG2500","Generators","GoldenTech Rich","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47064","HSP-054","Sonar 3kVA Petrol Generator SN-G3000","Generators","Sonar","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47061","HSP-051","Nunix 18 Inch Standing Fan NX-F18","Fans &amp; Air Treatment","Nunix","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47060","HSP-050","Sonar Android Smart TV 55 inch SN-55ST4K","TVs &amp; Home Entertainment","Sonar","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47058","HSP-048","Hisense Smart 4K UHD TV 43 inch 43A6N","TVs &amp; Home Entertainment","Hisense","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47056","HSP-046","Hisense No-Frost Refrigerator 300L REF300DR","Refrigerators","Hisense","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47055","HSP-045","Von Double Door Refrigerator 200L VART-25DHS","Refrigerators","Von","","","","","","","","fb_brand|fb_mpn|fb_gtin"
"47051","HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","Cleaning Appliances","LG","","8806090000000","8806090000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47050","HSP-063","AiLyons Electric Blender 1.5L AL-BL150","Cooking &amp; Kitchen","AiLyons","","6009880000000","6009880000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47049","HSP-057","Solarmax 200W Monocrystalline Solar Panel SMX-200M","Solar","Solarmax","","4030030000000","4030030000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47048","HSP-053","Electromate Air Cooler 20L EM-AC20","Fans &amp; Air Treatment","Electromate","","6009560000000","6009560000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47047","HSP-052","GoldenTech Rich Tower Fan with Remote GT-TF36R","Fans &amp; Air Treatment","GoldenTech Rich","","6009740000000","6009740000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47046","HSP-049","Vitro Full HD TV 32 inch VT-3200S","TVs &amp; Home Entertainment","Vitro","","6009870000000","6009870000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47045","HSP-047","Sonar Bar Fridge 90L SD-90","Refrigerators","Sonar","","6009300000000","6009300000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47044","HSP-044","Nunix Top Load Washing Machine 6kg NX-6000","Laundry","Nunix","","6009890000000","6009890000000","","","","","fb_brand|fb_mpn|fb_gtin"
"47043","HSP-043","Hisense Front Load Washing Machine 8kg WFQY8014EVJM","Laundry","Hisense","","6009510000000","6009510000000","","","","","fb_brand|fb_mpn|fb_gtin"
