"source","type","id","title","phone","whatsapp_context","context"
"wp-content","pages","13","Returns & Refunds","+254 746 334 492","yes","=""wp-block-list""><!-- wp:list-item --> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <!-- /wp:list-item --> <!-- wp:list-item --> <li><strong>Email:"
"wp-content","pages","13","Returns & Refunds","+254 746 334 492","yes","list-item --> <li>Contact us within 14 days of delivery via WhatsApp (+254 746 334 492) or email (<a href=""mailto:support@homeskitspro.com"">support@homeskit"
"wp-content","pages","3","Privacy Policy","+254 746 334 492","yes","/strong> support@homeskitspro.com</li> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <li><strong>Contact Page:</strong> <a href=""https://homeskitspro"
"wp-content","pages","287","Services","+254746334492","no","e"":""widget"",""settings"":{""text"":""Call HomesKitsPro"",""link"":{""url"":""tel:+254746334492"",""is_external"":false,""nofollow"":false,""custom_attributes"":""""},""color"""
"wp-content","pages","279","Contact Us","+254746334492","yes"," <div> <h4>Nairobi CBD</h4> <p>Call or WhatsApp: <a href=""tel:+254746334492"">+254 746 334 492</a><br>Email: <a href=""mailto:support@homeskitspro."
"wp-content","pages","279","Contact Us","+254 746 334 492","yes","Nairobi CBD</h4> <p>Call or WhatsApp: <a href=""tel:+254746334492"">+254 746 334 492</a><br>Email: <a href=""mailto:support@homeskitspro.com"">support@homes"
"wp-content","pages","279","Contact Us","+254746334492","yes",">Prefer a quick response?</strong><br>Call or WhatsApp: <a href=\""tel:+254746334492\"">+254 746 334 492</a><br>Email: <a href=\""mailto:support@homeskitspr"
"wp-content","pages","279","Contact Us","+254 746 334 492","yes","response?</strong><br>Call or WhatsApp: <a href=\""tel:+254746334492\"">+254 746 334 492</a><br>Email: <a href=\""mailto:support@homeskitspro.com\"">support@hom"
"wp-content","cms_block","684","Popup with contact form Megamarket","+254 746 334 492","no",",""elType"":""widget"",""settings"":{""subtitle"":"""",""title"":"""",""content"":""<p>+254 746 334 492</p>"",""btn_text"":"""",""icon_type"":""icon"",""icon_text"":""53"",""image"":{""id"":"
"wp-content","cms_block","514","Header current address","+254 746 334 492","no","ab295b6"",""elType"":""widget"",""settings"":{""list_items"":[{""list_content"":""+254 746 334 492"",""_id"":""5c09d81"",""link"":{""url"":""tel:+254746334492"",""is_external"":fals"
