"source","type","id","title","phone","whatsapp_context","context"
"wp-content","pages","13","Returns & Refunds","+254 746 334 492","yes","=""wp-block-list""><!-- wp:list-item --> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <!-- /wp:list-item --> <!-- wp:list-item --> <li><strong>Email:"
"wp-content","pages","13","Returns & Refunds","+254 746 334 492","yes","list-item --> <li>Contact us within 14 days of delivery via WhatsApp (+254 746 334 492) or email (<a href=""mailto:support@homeskitspro.com"">support@homeskit"
"wp-content","pages","3","Privacy Policy","+254 746 334 492","yes","/strong> support@homeskitspro.com</li> <li><strong>WhatsApp:</strong> +254 746 334 492</li> <li><strong>Contact Page:</strong> <a href=""https://homeskitspro"
"wp-content","pages","279","Contact Us","+254746334492","yes"," <div> <h4>Nairobi CBD</h4> <p>Call or WhatsApp: <a href=""tel:+254746334492"">+254 746 334 492</a><br>Email: <a href=""mailto:support@homeskitspro."
"wp-content","pages","279","Contact Us","+254 746 334 492","yes","Nairobi CBD</h4> <p>Call or WhatsApp: <a href=""tel:+254746334492"">+254 746 334 492</a><br>Email: <a href=""mailto:support@homeskitspro.com"">support@homes"
"wp-content","pages","279","Contact Us","+254746334492","yes",">Prefer a quick response?</strong><br>Call or WhatsApp: <a href=\""tel:+254746334492\"">+254 746 334 492</a><br>Email: <a href=\""mailto:support@homeskitspr"
"wp-content","pages","279","Contact Us","+254 746 334 492","yes","response?</strong><br>Call or WhatsApp: <a href=\""tel:+254746334492\"">+254 746 334 492</a><br>Email: <a href=\""mailto:support@homeskitspro.com\"">support@hom"
"rendered-page","public","","/","+254 746 334 492","no","""></span> <span class=""wd-list-content list-content""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"""
"rendered-page","public","","/","+254746334492","no","ntent""> +254 746 334 492 </span> <a href=""tel:+254746334492"" class=""wd-fill"" aria-label=""List item link""></a> </li> "
"rendered-page","public","","/","+254) 746334492","no","> <span class=""wd-list-content list-content""> Phone: (+254) 746334492 </span> </li> <li class=""elementor-repeater-"
