"id","name","current_sku","next_sku","current_category_id","current_category","target_category_id","target_category","sku_change","category_change"
"46478","Dayliff 1HP Water Pump for Homes Tanks and Small Buildings","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46479","Dayliff DSD 3/13 Submersible Borehole Pump 0.75kW 1HP","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46480","Dayliff DSD 3/7 Submersible Borehole Pump 0.37kW 0.5HP","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46482","Dayliff Heavy Duty 2 Inch Petrol Water Pump 4 Stroke Engine","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46483","INGCO Electronic Automatic Water Pump Pressure Controller","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46484","Ingco SWP3701 3 Inch Screw Submersible Well Pump 370W 0.5HP","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46486","LSWQB 12V DC Solar Surface Water Pump 15m Head 2000L Per H 180W","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46488","Maxmech 1HP Submersible Water Pump 32m Lift 1.5m3 Per Hr 1 Inch Outlet 8m Cable","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46490","Maxmech 24V DC Solar Submersible Water Pump 250W 50m Max Head 1500L Per H","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46492","Maxmech 3000 PSI Petrol High Pressure Washer 6.5HP 4-Stroke Gasoline Engine","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46494","Maxmech MQB-60 Surface Water Pump 0.5HP Copper Winding 40m Head 2100L Per Hr","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46496","Maxmech PC-10QA Automatic Pump Pressure Controller 10 Bar 1.1kW","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46498","Maxmech PW-210 Petrol Pressure Washer 7.0HP 3000 PSI 206 Bar Heavy Duty Axial Pump","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46500","Pedrollo 0.5HP Peripheral Water Booster Pump 35m Head Cast Iron","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46502","Pedrollo PKM60 1HP Peripheral Water Booster Pump Single Phase Cast Iron Continuous Duty","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46504","Premier 250W Solar Submersible Pump Kit 24V DC 65m Head Digital Controller","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46506","Premier 3FS1.5-80-36 300 Solar Submersible Pump 300W 36V DC 80m Head 1.2m3 Per H","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46508","Premier 400W 48V DC Solar Submersible Pump Brushless Screw Pump 95m Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46510","Premier 600W Solar Brushless Screw Pump Kit 72V DC 110m Head Borehole","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46512","Premier 900W Solar Brushless Screw Pump Kit 110V DC 130m Head Pro Controller","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46513","Royce High Pressure Washer 1200W Electric Car Wash Machine with Hose and Spray Gun","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46515","Rutanpump JZDC3.5-24V-250W Solar Submersible Screw Pump 250W 24V DC 30m Max Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46517","Rutanpump JZDC3.5-24V-400W Solar Submersible Screw Pump 400W 24V DC 45m Max Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46519","Rutanpump JZDC3.5-48V-400W Solar Submersible Pump 400W 48V DC 50m Max Head","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46520","Total TGT11266 High Pressure Washer 2800W 180 Bar 2600 PSI Copper Pump Auto Stop 5m Hose","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46522","Total TGT11316 High Pressure Washer 1400W 130 Bar 1900 PSI Carbon Brush Motor Auto Stop","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46524","TOTAL TPWLI20362 20V Cordless High Pressure Washer 24.8 Bar 360 PSI 2.0Ah Battery 6m Suction Hose","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46526","Cordless High-Pressure Car Wash Spray Gun 88V 2x Lithium Batteries Foam Bottle Dual Nozzle","","","1588","Water Pumps","1588","Water Pumps","no","no"
"46527","1000W Personal Hair Dryer Compact","","","1568","Personal Care","1568","Personal Care","no","no"
"46528","1080P PTZ Wi-Fi CCTV Bulb Camera 360 Degree Smart IP Surveillance","","","1581","Security","1581","Security","no","no"
"46530","10pcs Disposable Drain Sticker Mesh Hair Filter Net for Bathroom Drainage Insect Proof","","","1585","Accessories","1585","Accessories","no","no"
"46531","1/2 Inch Clear PVC Hose Pipe 120ft","","","1585","Accessories","1585","Accessories","no","no"
"46532","10 Pcs Orange Thread Seal Tape Set","","","1585","Accessories","1585","Accessories","no","no"
"46533","10 Pack Auto Drippers Self Plant Watering Spikes Automatic Adjustable Control Valve","","","1585","Accessories","1585","Accessories","no","no"
