"id","name","current_sku","next_sku","current_category_id","current_category","target_category_id","target_category","sku_change","category_change"
"46478","Dayliff 1HP Water Pump for Homes Tanks and Small Buildings","","","1603","Surface Pumps","1588","Water Pumps","no","yes"
"46479","Dayliff DSD 3/13 Submersible Borehole Pump 0.75kW 1HP","","","1604","Submersible Pumps","1588","Water Pumps","no","yes"
"46480","Dayliff DSD 3/7 Submersible Borehole Pump 0.37kW 0.5HP","","","1604","Submersible Pumps","1588","Water Pumps","no","yes"
"46482","Dayliff Heavy Duty 2 Inch Petrol Water Pump 4 Stroke Engine","","","1605","Petrol Pumps","1588","Water Pumps","no","yes"
"46483","INGCO Electronic Automatic Water Pump Pressure Controller","","","1607","Pump Controllers","1588","Water Pumps","no","yes"
"46484","Ingco SWP3701 3 Inch Screw Submersible Well Pump 370W 0.5HP","","","1604","Submersible Pumps","1588","Water Pumps","no","yes"
"46486","LSWQB 12V DC Solar Surface Water Pump 15m Head 2000L Per H 180W","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46488","Maxmech 1HP Submersible Water Pump 32m Lift 1.5m3 Per Hr 1 Inch Outlet 8m Cable","","","1604","Submersible Pumps","1588","Water Pumps","no","yes"
"46490","Maxmech 24V DC Solar Submersible Water Pump 250W 50m Max Head 1500L Per H","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46492","Maxmech 3000 PSI Petrol High Pressure Washer 6.5HP 4-Stroke Gasoline Engine","","","1612","Pressure Washers","1588","Water Pumps","no","yes"
"46494","Maxmech MQB-60 Surface Water Pump 0.5HP Copper Winding 40m Head 2100L Per Hr","","","1603","Surface Pumps","1588","Water Pumps","no","yes"
"46496","Maxmech PC-10QA Automatic Pump Pressure Controller 10 Bar 1.1kW","","","1607","Pump Controllers","1588","Water Pumps","no","yes"
"46498","Maxmech PW-210 Petrol Pressure Washer 7.0HP 3000 PSI 206 Bar Heavy Duty Axial Pump","","","1612","Pressure Washers","1588","Water Pumps","no","yes"
"46500","Pedrollo 0.5HP Peripheral Water Booster Pump 35m Head Cast Iron","","","1614","Booster Pumps","1588","Water Pumps","no","yes"
"46502","Pedrollo PKM60 1HP Peripheral Water Booster Pump Single Phase Cast Iron Continuous Duty","","","1614","Booster Pumps","1588","Water Pumps","no","yes"
"46504","Premier 250W Solar Submersible Pump Kit 24V DC 65m Head Digital Controller","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46506","Premier 3FS1.5-80-36 300 Solar Submersible Pump 300W 36V DC 80m Head 1.2m3 Per H","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46508","Premier 400W 48V DC Solar Submersible Pump Brushless Screw Pump 95m Head","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46510","Premier 600W Solar Brushless Screw Pump Kit 72V DC 110m Head Borehole","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46512","Premier 900W Solar Brushless Screw Pump Kit 110V DC 130m Head Pro Controller","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
"46513","Royce High Pressure Washer 1200W Electric Car Wash Machine with Hose and Spray Gun","","","1612","Pressure Washers","1588","Water Pumps","no","yes"
"46515","Rutanpump JZDC3.5-24V-250W Solar Submersible Screw Pump 250W 24V DC 30m Max Head","","","1609","Solar Pumps","1588","Water Pumps","no","yes"
