"sku","width","height","kb","image"
"HSP-WH001","900","900","117.3","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-wh001-sonar-3000w-instant-electric-shower-water-heater.jpg"
"HSP-EXT001","900","900","70.4","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-ext001-electromate-4-way-extension-cord-usb-ports-3m-surge-protection-elm-ext4u.jpg"
"HSP-RUG001","900","900","55.5","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-rug001-rich-living-room-carpet-anti-slip-160cm-x-230cm-modern-design-rch-cp16x23.jpg"
"HSP-WBENCH001","598","422","102.5","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-wbench001-bosch-heavy-duty-steel-workbench-120cm-x-60cm-lower-shelf-gta-3800.png"
"HSP-SMIRR001","708","680","127.7","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-smirr001-rich-bathroom-mirror-cabinet-led-lighting-60cm-x-80cm-rch-mirled6080.jpg"
"HSP-SINK001","1024","1024","1015.4","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-sink001-rich-stainless-steel-kitchen-sink-single-bowl-60cm-x-45cm-with-drainer-rch-sink6045.png"
"HSP-TOI001","900","900","48","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-toi001-rich-dual-flush-toilet-suite-soft-close-seat-white-rch-toi-df.jpg"
"HSP-SHOWER001","900","900","62.9","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-shower001-rich-rainfall-shower-head-set-stainless-steel-arm-and-mixer-valve-rch-shwr8.jpg"
"HSP-TAPEF001","900","900","34.8","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-tapef001-rich-kitchen-mixer-tap-chrome-dual-lever-ceramic-disc-rch-ktap-chr.jpg"
"HSP-DRAIN001","900","900","60","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-drain001-rich-round-floor-drain-10cm-x-10cm-stainless-steel-deep-water-seal-rch-fd10.jpg"
"HSP-PROJ001","900","900","48.6","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-proj001-smartpro-1080p-full-hd-portable-projector-wi-fi-bluetooth-200-inch-smp-proj200.jpg"
"HSP-POWERBANK001","900","900","52.7","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-powerbank001-sonar-20000mah-power-bank-fast-charging-pd-22-5w-dual-usb-c-snr-pb20k.jpg"
"HSP-USBC001","900","900","44","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-usbc001-electromate-usb-c-to-usb-c-fast-charge-cable-1-5m-100w-nylon-braided-elm-usbc100.jpg"
"HSP-SDCARD001","900","900","18.8","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-sdcard001-smartpro-64gb-microsd-card-class-10-a1-v30-with-sd-adapter-smp-msd64.jpg"
