"sku","product_id","product_name","media_id","image_src","source_page","source_image","status","message"
"HSP-WH001","47201","Sonar 3000W Instant Electric Shower Water Heater","47259","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-wh001-sonar-3000w-instant-electric-shower-water-heater.jpg","https://www.jumia.co.ke/enerbras-electric-shower-head-instant-hot-water-4-temperature-levels-324599996.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/69/9995423/1.jpg?5277","updated",""
"HSP-EXT001","47203","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","47260","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-ext001-electromate-4-way-extension-cord-usb-ports-3m-surge-protection-elm-ext4u.jpg","https://www.jumia.co.ke/addigoes-power-strip-with-surge-protection-4-power-socket-outlets-4-usb-ports3-usb-1-type-coverload-protection-led-indicator-child-proof-safety-covers-2m-all-in-one-power-extension-cord-for-home-office-use-314486134.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/43/1684413/1.jpg?5266","updated",""
"HSP-RUG001","47207","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","47261","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-rug001-rich-living-room-carpet-anti-slip-160cm-x-230cm-modern-design-rch-cp16x23.jpg","https://www.jumia.co.ke/mac-carpet-carpet-160-cm-x-230-cm-carpets-living-room-sabha-modern-home-decor-carpets-315107085.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/75/2886503/1.jpg?8493","updated",""
"HSP-WBENCH001","47209","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","47262","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-wbench001-bosch-heavy-duty-steel-workbench-120cm-x-60cm-lower-shelf-gta-3800.png","https://www.bosch-professional.com/gb/en/products/gta-3800-0601B24000","https://www.bosch-professional.com/binary/ocsmedia/optimized/750x422/o376177v54_GTA_3800_sos_F4_0601B24000_01.png","updated",""
"HSP-SMIRR001","47211","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","47263","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-smirr001-rich-bathroom-mirror-cabinet-led-lighting-60cm-x-80cm-rch-mirled6080.jpg","https://gralia.en.made-in-china.com/product/dwlTumzGChWj/China-Factory-Wholesale-Salon-Mirror-Light-Bathroom-Mirror-with-LED-Light.html","https://image.made-in-china.com/2f0j00bKtiITPcbBkS/Factory-Wholesale-Salon-Mirror-Light-Bathroom-Mirror-with-LED-Light.jpg","updated",""
"HSP-SINK001","47213","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","47264","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-sink001-rich-stainless-steel-kitchen-sink-single-bowl-60cm-x-45cm-with-drainer-rch-sink6045.png","https://kitchenwarehouse.lk/products/euro-60-x-50-single-bowl-black-sink-with-drainer","https://kitchenwarehouse.lk/cdn/shop/files/Stainless_Steel_Handmade_Single_Bowl_Sink_with_drainer.png?v=1769068112","updated",""
"HSP-TOI001","47215","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","47265","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-toi001-rich-dual-flush-toilet-suite-soft-close-seat-white-rch-toi-df.jpg","https://www.jumia.co.ke/tigers-tigers-italian-s-trap-toilet-with-soft-close-seat-313110384.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/44/4020313/1.jpg?8177","updated",""
"HSP-SHOWER001","47217","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","47266","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-shower001-rich-rainfall-shower-head-set-stainless-steel-arm-and-mixer-valve-rch-shwr8.jpg","https://www.jumia.co.ke/generic-high-end-brass-bathroom-system-shower-matt-chrome-wall-mounted-rain-mixer-shower-head-set-326105845.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/79/4182523/1.jpg?7170","updated",""
"HSP-TAPEF001","47219","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","47267","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-tapef001-rich-kitchen-mixer-tap-chrome-dual-lever-ceramic-disc-rch-ktap-chr.jpg","https://www.jumia.co.ke/lirlee-kitchen-sink-mixer-tap-stylish-durable-325443300.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/00/3344523/1.jpg?4455","updated",""
"HSP-DRAIN001","47221","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","47268","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-drain001-rich-round-floor-drain-10cm-x-10cm-stainless-steel-deep-water-seal-rch-fd10.jpg","https://www.jumia.co.ke/generic-ywzx-sus304-stainless-steel-self-sealing-dual-purpose-floor-drain-10x10cm-2mm-thick-odor-insect-proof-for-bathroomkitchenbalcony-326357314.html","https://ke.jumia.is/unsafe/fit-in/900x900/filters:fill(white)/product/41/3753623/1.jpg?5334","updated",""
