"sku","product_id","product_name","image_id","image_src","alt","status"
"HSP-WH001","47201","Sonar 3000W Instant Electric Shower Water Heater","47259","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-wh001-sonar-3000w-instant-electric-shower-water-heater.jpg","Sonar 3000W Instant Electric Shower Water Heater","checked"
"HSP-EXT001","47203","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","47260","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-ext001-electromate-4-way-extension-cord-usb-ports-3m-surge-protection-elm-ext4u.jpg","Electromate 4-Way Extension Cord USB Ports 3M Surge Protection ELM-EXT4U","checked"
"HSP-RUG001","47207","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","47261","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-rug001-rich-living-room-carpet-anti-slip-160cm-x-230cm-modern-design-rch-cp16x23.jpg","Rich Living Room Carpet Anti-Slip 160cm x 230cm Modern Design RCH-CP16X23","checked"
"HSP-WBENCH001","47209","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","47262","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-wbench001-bosch-heavy-duty-steel-workbench-120cm-x-60cm-lower-shelf-gta-3800.png","Bosch Heavy-Duty Steel Workbench 120cm x 60cm Lower Shelf GTA 3800","checked"
"HSP-SMIRR001","47211","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","47263","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-smirr001-rich-bathroom-mirror-cabinet-led-lighting-60cm-x-80cm-rch-mirled6080.jpg","Rich Bathroom Mirror Cabinet LED Lighting 60cm x 80cm RCH-MIRLED6080","checked"
"HSP-SINK001","47213","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","47264","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-sink001-rich-stainless-steel-kitchen-sink-single-bowl-60cm-x-45cm-with-drainer-rch-sink6045.png","Rich Stainless Steel Kitchen Sink Single Bowl 60cm x 45cm with Drainer RCH-SINK6045","checked"
"HSP-TOI001","47215","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","47265","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-toi001-rich-dual-flush-toilet-suite-soft-close-seat-white-rch-toi-df.jpg","Rich Dual Flush Toilet Suite Soft Close Seat White RCH-TOI-DF","checked"
"HSP-SHOWER001","47217","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","47266","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-shower001-rich-rainfall-shower-head-set-stainless-steel-arm-and-mixer-valve-rch-shwr8.jpg","Rich Rainfall Shower Head Set Stainless Steel Arm and Mixer Valve RCH-SHWR8","checked"
"HSP-TAPEF001","47219","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","47267","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-tapef001-rich-kitchen-mixer-tap-chrome-dual-lever-ceramic-disc-rch-ktap-chr.jpg","Rich Kitchen Mixer Tap Chrome Dual Lever Ceramic Disc RCH-KTAP-CHR","checked"
"HSP-DRAIN001","47221","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","47268","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-drain001-rich-round-floor-drain-10cm-x-10cm-stainless-steel-deep-water-seal-rch-fd10.jpg","Rich Round Floor Drain 10cm x 10cm Stainless Steel Deep Water Seal RCH-FD10","checked"
"HSP-PROJ001","47223","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","47269","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-proj001-smartpro-1080p-full-hd-portable-projector-wi-fi-bluetooth-200-inch-smp-proj200.jpg","SmartPro 1080P Full HD Portable Projector Wi-Fi Bluetooth 200 Inch SMP-PROJ200","checked"
"HSP-POWERBANK001","47225","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","47270","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-powerbank001-sonar-20000mah-power-bank-fast-charging-pd-22-5w-dual-usb-c-snr-pb20k.jpg","Sonar 20000mAh Power Bank Fast Charging PD 22.5W Dual USB-C SNR-PB20K","checked"
"HSP-USBC001","47227","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","47271","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-usbc001-electromate-usb-c-to-usb-c-fast-charge-cable-1-5m-100w-nylon-braided-elm-usbc100.jpg","Electromate USB-C to USB-C Fast Charge Cable 1.5m 100W Nylon Braided ELM-USBC100","checked"
"HSP-SDCARD001","47229","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","47272","https://homeskitspro.com/wp-content/uploads/2026/04/hsp-sdcard001-smartpro-64gb-microsd-card-class-10-a1-v30-with-sd-adapter-smp-msd64.jpg","SmartPro 64GB MicroSD Card Class 10 A1 V30 with SD Adapter SMP-MSD64","checked"
